序号,文件名,相对路径
90,generic_average_male_facial_transitions_correctives.anims,facial\male_average\interactive_scene\generic_average_male_facial_transitions_correctives.anims
91,alt__facial_custom_animations.anims,facial\quest_custom\alt\alt__facial_custom_animations.anims
92,delamain__facial_idle.anims,facial\quest_custom\delamain_ma\delamain__facial_idle.anims
93,delamain__facial_idle_poses.anims,facial\quest_custom\delamain_ma\delamain__facial_idle_poses.anims
94,dex_facial.anims,facial\quest_custom\dex\dex_facial.anims
95,jackie_facial.anims,facial\quest_custom\jackie\jackie_facial.anims
96,joshua_facial_custom_animations.anims,facial\quest_custom\joshua_stephenson\joshua_facial_custom_animations.anims
97,kerry_facial_custom_animations.anims,facial\quest_custom\kerry\kerry_facial_custom_animations.anims
98,q003_intro_01_diner__v_facial.anims,facial\quest_custom\q003\q003_intro_01_diner__v_facial.anims
99,royce_facial.anims,facial\quest_custom\royce\royce_facial.anims
100,sandra__facial_custom_animations.anims,facial\quest_custom\sandra\sandra__facial_custom_animations.anims
101,synced_q101_03_car_ride_seq_3__troy_1_face_animation.anims,facial\quest_custom\troy\synced_q101_03_car_ride_seq_3__troy_1_face_animation.anims
102,victor__facial_custom_animations.anims,facial\quest_custom\victor\victor__facial_custom_animations.anims
103,chicken_work__stand__2w_on_sides__01.anims,items\environment\animal\chicken_work__stand__2w_on_sides__01.anims
104,cybercat.anims,items\environment\animal\cybercat.anims
105,int_misc_002__dashi_carp.anims,items\environment\animal\int_misc_002__dashi_carp.anims
106,int_misc_002__dashi_carp_b.anims,items\environment\animal\int_misc_002__dashi_carp_b.anims
107,int_misc_002__dashi_dragon_a.anims,items\environment\animal\int_misc_002__dashi_dragon_a.anims
108,int_misc_002__dashi_phoenix_a.anims,items\environment\animal\int_misc_002__dashi_phoenix_a.anims
109,blob.anims,items\environment\crowd\blob.anims
110,drone_police.anims,items\environment\drones\drone_police.anims
111,logo.anims,items\environment\logo\logo.anims
112,amb_006__maintance_machine.anims,items\environment\mechanical\amb_006__maintance_machine.anims
113,int_electronics_002__antenna.anims,items\environment\mechanical\int_electronics_002__antenna.anims
114,ndr_004_ma_back__chassis.anims,items\environment\mechanical\ndr_004_ma_back__chassis.anims
115,netlink.anims,items\environment\mechanical\netlink.anims
116,spiderbot_01_case_prototype.anims,items\environment\mechanical\spiderbot_01_case_prototype.anims
117,turret_police.anims,items\environment\turrets\turret_police.anims
118,turret_portable.anims,items\environment\turrets\turret_portable.anims
119,turret_security.anims,items\environment\turrets\turret_security.anims
120,turret_sentry_gun.anims,items\environment\turrets\turret_sentry_gun.anims
121,pma_disassemble.anims,items\environment\vent\pma_disassemble.anims
122,pwa_disassemble.anims,items\environment\vent\pwa_disassemble.anims
123,pma_blueprint_extraction.anims,items\interactive\blueprint_extraction\pma_blueprint_extraction.anims
124,pwa_blueprint_extraction.anims,items\interactive\blueprint_extraction\pwa_blueprint_extraction.anims
125,braindance_headset.anims,items\interactive\braindance_headset\braindance_headset.anims
126,ma_braindance_headset.anims,items\interactive\braindance_headset\ma_braindance_headset.anims
127,item_disposal_crate.anims,items\interactive\cargo_crate\item_disposal_crate.anims
128,ma_cargocrate.anims,items\interactive\cargo_crate\ma_cargocrate.anims
129,mb_cargocrate.anims,items\interactive\cargo_crate\mb_cargocrate.anims
130,pma_cargocrate.anims,items\interactive\cargo_crate\pma_cargocrate.anims
131,pwa_cargocrate.anims,items\interactive\cargo_crate\pwa_cargocrate.anims
132,wa_cargocrate.anims,items\interactive\cargo_crate\wa_cargocrate.anims
133,item_disposal_cartrunk.anims,items\interactive\cartrunk\item_disposal_cartrunk.anims
134,ma_cartrunk.anims,items\interactive\cartrunk\ma_cartrunk.anims
135,mb_cartrunk.anims,items\interactive\cartrunk\mb_cartrunk.anims
136,pma_cartrunk.anims,items\interactive\cartrunk\pma_cartrunk.anims
137,pwa_cartrunk.anims,items\interactive\cartrunk\pwa_cartrunk.anims
138,v_sport2_vilefort_alvarado.anims,items\interactive\cartrunk\v_sport2_vilefort_alvarado.anims
139,v_standard2_thorton_galena.anims,items\interactive\cartrunk\v_standard2_thorton_galena.anims
140,wa_cartrunk.anims,items\interactive\cartrunk\wa_cartrunk.anims
141,sliding_ladder.anims,items\interactive\common\sliding_ladder.anims
142,int_containers_001__dancing_cage_a.anims,items\interactive\containers\int_containers_001__dancing_cage_a.anims
143,int_containers_002__postal_box_g.anims,items\interactive\containers\int_containers_002__postal_box_g.anims
144,int_containers_002__stack_of_crates_a.anims,items\interactive\containers\int_containers_002__stack_of_crates_a.anims
145,int_industrial_002__stillage_sync.anims,items\interactive\containers\int_industrial_002__stillage_sync.anims
146,pwa_int_industrial_002__stillage_sync.anims,items\interactive\containers\pwa_int_industrial_002__stillage_sync.anims
147,wa_activated_distraction_dancing_water_tube.anims,items\interactive\containers\wa_activated_distraction_dancing_water_tube.anims
148,wa_int_containers_001__dancing_cage_a.anims,items\interactive\containers\wa_int_containers_001__dancing_cage_a.anims
149,int_decoration_001__holographic_decoration_a.anims,items\interactive\decoration\int_decoration_001__holographic_decoration_a.anims
150,int_doors_002_cabinet_glass.anims,items\interactive\doors\int_doors_002_cabinet_glass.anims
151,int_doors_002__maelstrom_factory_garage_loading_bay_rollup_door_a.anims,items\interactive\doors\int_doors_002__maelstrom_factory_garage_loading_bay_rollup_door_a.anims
152,int_doors_002__maelstrom_factory_garage_rollup_door_a.anims,items\interactive\doors\int_doors_002__maelstrom_factory_garage_rollup_door_a.anims
153,int_door_006__wat_nhr_maelstrom_hideout_elevator_slide_doors_a.anims,items\interactive\doors\int_door_006__wat_nhr_maelstrom_hideout_elevator_slide_doors_a.anims
154,int_furniture_002__bar_counter_03_swing_door.anims,items\interactive\doors\int_furniture_002__bar_counter_03_swing_door.anims
155,pma_strongarms_no_cyberware.anims,items\interactive\doors\pma_strongarms_no_cyberware.anims
156,pwa_strongarms_no_cyberware.anims,items\interactive\doors\pwa_strongarms_no_cyberware.anims
157,q003_p2__maelstrom_factory_door_garage.anims,items\interactive\doors\q003_p2__maelstrom_factory_door_garage.anims
158,door_container.anims,items\interactive\doors\door_double\door_container.anims
159,door_container_freight.anims,items\interactive\doors\door_double\door_container_freight.anims
160,door_double.anims,items\interactive\doors\door_double\door_double.anims
161,door_double_deformable.anims,items\interactive\doors\door_double\door_double_deformable.anims
162,door_double_force_open.anims,items\interactive\doors\door_double\door_double_force_open.anims
163,door_gate.anims,items\interactive\doors\door_gate\door_gate.anims
164,door_gate_force_open.anims,items\interactive\doors\door_gate\door_gate_force_open.anims
165,door_gate_force_open_02.anims,items\interactive\doors\door_gate\door_gate_force_open_02.anims
166,door_single.anims,items\interactive\doors\door_single\door_single.anims
167,door_single_deformable.anims,items\interactive\doors\door_single\door_single_deformable.anims
168,door_single_force_open.anims,items\interactive\doors\door_single\door_single_force_open.anims
169,int_doors_002_shutters_h150.anims,items\interactive\doors\shutters\int_doors_002_shutters_h150.anims
170,int_doors_002_shutters_h250.anims,items\interactive\doors\shutters\int_doors_002_shutters_h250.anims
171,int_doors_002_shutters_h400.anims,items\interactive\doors\shutters\int_doors_002_shutters_h400.anims
172,int_doors_002_shutters_h600.anims,items\interactive\doors\shutters\int_doors_002_shutters_h600.anims
173,item_disposal_dumpster.anims,items\interactive\dumpster\item_disposal_dumpster.anims
174,item_disposal_dumpster_regular.anims,items\interactive\dumpster\item_disposal_dumpster_regular.anims
175,ma_dumpster.anims,items\interactive\dumpster\ma_dumpster.anims
176,mb_dumpster.anims,items\interactive\dumpster\mb_dumpster.anims
177,pma_dumpster.anims,items\interactive\dumpster\pma_dumpster.anims
178,pwa_dumpster.anims,items\interactive\dumpster\pwa_dumpster.anims
179,wa_dumpster.anims,items\interactive\dumpster\wa_dumpster.anims
180,int_electronics_002__poor_industrial_electronic_a_speaker_membrane.anims,items\interactive\electronics\int_electronics_002__poor_industrial_electronic_a_speaker_membrane.anims
181,item_circuit_device.anims,items\interactive\electronics\circuit_device\item_circuit_device.anims
182,pma_circuit_device.anims,items\interactive\electronics\circuit_device\pma_circuit_device.anims
183,pwa_circuit_device.anims,items\interactive\electronics\circuit_device\pwa_circuit_device.anims
184,int_electronics_002__corpo_security_camera_d_base.anims,items\interactive\electronics\int_electronics_002__corpo_security_camera_d\int_electronics_002__corpo_security_camera_d_base.anims
185,int_electronics_002__corpo_security_camera_d__wall_mount_base.anims,items\interactive\electronics\int_electronics_002__corpo_security_camera_d\int_electronics_002__corpo_security_camera_d__wall_mount_base.anims
186,item_disposal_ice_machine_b_tall.anims,items\interactive\freezer\item_disposal_ice_machine_b_tall.anims
187,ma_freezer.anims,items\interactive\freezer\ma_freezer.anims
188,mb_freezer.anims,items\interactive\freezer\mb_freezer.anims
189,pma_freezer.anims,items\interactive\freezer\pma_freezer.anims
190,pwa_freezer.anims,items\interactive\freezer\pwa_freezer.anims
191,wa_freezer.anims,items\interactive\freezer\wa_freezer.anims
192,item_disposal_entropy_fridge_a.anims,items\interactive\fridge\item_disposal_entropy_fridge_a.anims
193,item_disposal_kitsch_fridge_a.anims,items\interactive\fridge\item_disposal_kitsch_fridge_a.anims
194,item_disposal_neokitsch_fridge_a.anims,items\interactive\fridge\item_disposal_neokitsch_fridge_a.anims
195,item_disposal_poor_refrigerator_a.anims,items\interactive\fridge\item_disposal_poor_refrigerator_a.anims
196,ma_fridge.anims,items\interactive\fridge\ma_fridge.anims
197,mb_fridge.anims,items\interactive\fridge\mb_fridge.anims
198,pma_fridge.anims,items\interactive\fridge\pma_fridge.anims
199,pwa_fridge.anims,items\interactive\fridge\pwa_fridge.anims
200,wa_fridge.anims,items\interactive\fridge\wa_fridge.anims
201,rich_office_chair_a.anims,items\interactive\furniture\rich_office_chair_a.anims
202,ma_netrunner_chair.anims,items\interactive\furniture\netrunner_chair\ma_netrunner_chair.anims
203,mb_netrunner_chair.anims,items\interactive\furniture\netrunner_chair\mb_netrunner_chair.anims
204,netrunner_chair.anims,items\interactive\furniture\netrunner_chair\netrunner_chair.anims
205,wa_netrunner_chair.anims,items\interactive\furniture\netrunner_chair\wa_netrunner_chair.anims
206,face_mb_chute.anims,items\interactive\garbage\face_mb_chute.anims
207,int_garbage_002__chute_b.anims,items\interactive\garbage\int_garbage_002__chute_b.anims
208,ma_chute.anims,items\interactive\garbage\ma_chute.anims
209,mb_chute.anims,items\interactive\garbage\mb_chute.anims
210,pma_chute.anims,items\interactive\garbage\pma_chute.anims
211,pwa_chute.anims,items\interactive\garbage\pwa_chute.anims
212,wa_chute.anims,items\interactive\garbage\wa_chute.anims
213,int_industrial_002__car_lift_a.anims,items\interactive\industrial\int_industrial_002__car_lift_a.anims
214,int_industrial_002__forklift_a.anims,items\interactive\industrial\int_industrial_002__forklift_a.anims
215,int_industrial_002__robotic_arm.anims,items\interactive\industrial\int_industrial_002__robotic_arm.anims
216,int_industrial_002__robotic_arm_delamain.anims,items\interactive\industrial\int_industrial_002__robotic_arm_delamain.anims
217,int_industrial_002__scissors_lift_a.anims,items\interactive\industrial\int_industrial_002__scissors_lift_a.anims
218,int_lighting_002__spotlight_a.anims,items\interactive\lighting\int_lighting_002__spotlight_a.anims
219,int_medical_002__wheelchair.anims,items\interactive\medical\int_medical_002__wheelchair.anims
220,int_misc_001__wind_turbine_a_spinner.anims,items\interactive\misc\int_misc_001__wind_turbine_a_spinner.anims
221,int_misc_002__wind_turbine_a.anims,items\interactive\misc\int_misc_002__wind_turbine_a.anims
222,movable_rack.anims,items\interactive\movable_rack\movable_rack.anims
223,pma_movable_rack.anims,items\interactive\movable_rack\pma_movable_rack.anims
224,pwa_movable_rack.anims,items\interactive\movable_rack\pwa_movable_rack.anims
225,int_public_utility_002__blockade_mechanical_a.anims,items\interactive\public_utility\int_public_utility_002__blockade_mechanical_a.anims
226,int_public_utility_002__elevator_common_door_animation.anims,items\interactive\public_utility\int_public_utility_002__elevator_common_door_animation.anims
227,int_public_utility_002__elevator_construction.anims,items\interactive\public_utility\int_public_utility_002__elevator_construction.anims
228,int_public_utility_002__elevator_industrial.anims,items\interactive\public_utility\int_public_utility_002__elevator_industrial.anims
229,int_public_utility_002__ferris_wheel_a.anims,items\interactive\public_utility\int_public_utility_002__ferris_wheel_a.anims
230,int_public_utility_002__megabuilding_elevator_a_door_a.anims,items\interactive\public_utility\int_public_utility_002__megabuilding_elevator_a_door_a.anims
231,int_public_utility_002__outdoor_elevator_crane_a.anims,items\interactive\public_utility\int_public_utility_002__outdoor_elevator_crane_a.anims
232,int_public_utility_002__road_barrier_a_poor.anims,items\interactive\public_utility\int_public_utility_002__road_barrier_a_poor.anims
233,int_public_utility_002__road_barrier_a_poor_small.anims,items\interactive\public_utility\int_public_utility_002__road_barrier_a_poor_small.anims
234,int_public_utility_002__weak_fence_a.anims,items\interactive\public_utility\int_public_utility_002__weak_fence_a.anims
235,pma_weak_fence.anims,items\interactive\public_utility\pma_weak_fence.anims
236,pwa_weak_fence.anims,items\interactive\public_utility\pwa_weak_fence.anims
237,sq017_elevator_neomilitary_nightclub.anims,items\interactive\public_utility\sq017_elevator_neomilitary_nightclub.anims
238,ma_railing.anims,items\interactive\railing\ma_railing.anims
239,mb_railing.anims,items\interactive\railing\mb_railing.anims
240,pma_railing.anims,items\interactive\railing\pma_railing.anims
241,pwa_railing.anims,items\interactive\railing\pwa_railing.anims
242,wa_railing.anims,items\interactive\railing\wa_railing.anims
243,int_001__living_room_metal_screen_a.anims,items\interactive\screens\int_001__living_room_metal_screen_a.anims
244,int_unique_001__q114_driller_front_a.anims,items\interactive\unique\int_unique_001__q114_driller_front_a.anims
245,ma_wall.anims,items\interactive\wall\ma_wall.anims
246,mb_wall.anims,items\interactive\wall\mb_wall.anims
247,pma_wall.anims,items\interactive\wall\pma_wall.anims
248,pwa_wall.anims,items\interactive\wall\pwa_wall.anims
249,wa_wall.anims,items\interactive\wall\wa_wall.anims
250,ma_wardrobe.anims,items\interactive\wardrobe\ma_wardrobe.anims
251,mb_wardrobe.anims,items\interactive\wardrobe\mb_wardrobe.anims
252,pma_wardrobe.anims,items\interactive\wardrobe\pma_wardrobe.anims
253,poor_furniture_wardrobe_a.anims,items\interactive\wardrobe\poor_furniture_wardrobe_a.anims
254,poor_furniture_wardrobe_c.anims,items\interactive\wardrobe\poor_furniture_wardrobe_c.anims
255,poor_furniture_wardrobe_d.anims,items\interactive\wardrobe\poor_furniture_wardrobe_d.anims
256,pwa_wardrobe.anims,items\interactive\wardrobe\pwa_wardrobe.anims
257,wa_wardrobe.anims,items\interactive\wardrobe\wa_wardrobe.anims
258,int_doors_002__entropy_shutter_window_w150_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w150_a.anims
259,int_doors_002__entropy_shutter_window_w150_h250_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w150_h250_a.anims
260,int_doors_002__entropy_shutter_window_w250_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w250_a.anims
261,int_doors_002__entropy_shutter_window_w300_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w300_a.anims
262,int_doors_002__entropy_shutter_window_w300_h250_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w300_h250_a.anims
263,int_doors_002__entropy_shutter_window_w550_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w550_a.anims
264,int_doors_002__entropy_shutter_window_w600_h400_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w600_h400_a.anims
265,int_doors_002__entropy_shutter_window_w900_h600_a.anims,items\interactive\windows\int_doors_002__entropy_shutter_window_w900_h600_a.anims
266,int_doors_002__mall_shutter_window_w150_h250_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w150_h250_a.anims
267,int_doors_002__mall_shutter_window_w300_h250_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w300_h250_a.anims
268,int_doors_002__mall_shutter_window_w450_h250a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w450_h250a.anims
269,int_doors_002__mall_shutter_window_w600_h400_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w600_h400_a.anims
270,int_doors_002__mall_shutter_window_w650_h250_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w650_h250_a.anims
271,int_doors_002__mall_shutter_window_w900_h250_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w900_h250_a.anims
272,int_doors_002__mall_shutter_window_w900_h600_a.anims,items\interactive\windows\int_doors_002__mall_shutter_window_w900_h600_a.anims
273,int_doors_002__militarism_shutter_a_door_left_w100_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_left_w100_h150.anims
274,int_doors_002__militarism_shutter_a_door_middle_w100_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_middle_w100_h150.anims
275,int_doors_002__militarism_shutter_a_door_middle_w200_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_middle_w200_h150.anims
276,int_doors_002__militarism_shutter_a_door_right_w100_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_right_w100_h150.anims
277,int_doors_002__militarism_shutter_a_door_w150_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w150_h150.anims
278,int_doors_002__militarism_shutter_a_door_w150_h250.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w150_h250.anims
279,int_doors_002__militarism_shutter_a_door_w250_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w250_h150.anims
280,int_doors_002__militarism_shutter_a_door_w300_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w300_h150.anims
281,int_doors_002__militarism_shutter_a_door_w300_h250.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w300_h250.anims
282,int_doors_002__militarism_shutter_a_door_w550_h150.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w550_h150.anims
283,int_doors_002__militarism_shutter_a_door_w600_h400.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w600_h400.anims
284,int_doors_002__militarism_shutter_a_door_w900_h600.anims,items\interactive\windows\int_doors_002__militarism_shutter_a_door_w900_h600.anims
285,int_ent_apartment_a_window_blades_a.anims,items\interactive\windows\int_ent_apartment_a_window_blades_a.anims
286,int_ent_apartment_a_window_blades_b.anims,items\interactive\windows\int_ent_apartment_a_window_blades_b.anims
287,int_window_001__industrial_shutter_a.anims,items\interactive\windows\int_window_001__industrial_shutter_a.anims
288,int_window_001__industrial_shutter_b.anims,items\interactive\windows\int_window_001__industrial_shutter_b.anims
289,ma_windows.anims,items\interactive\windows\ma_windows.anims
290,mb_windows.anims,items\interactive\windows\mb_windows.anims
291,pma_windows.anims,items\interactive\windows\pma_windows.anims
292,pwa_windows.anims,items\interactive\windows\pwa_windows.anims
293,wa_windows.anims,items\interactive\windows\wa_windows.anims
294,item_injector.anims,items\player\consumable\item_injector.anims
295,pma_consumables.anims,items\player\consumable\pma_consumables.anims
296,pwa_consumables.anims,items\player\consumable\pwa_consumables.anims
297,pma_data_splinter.anims,items\player\data_splinter\pma_data_splinter.anims
298,pwa_data_splinter.anims,items\player\data_splinter\pwa_data_splinter.anims
299,pma_interactions.anims,items\player\environment\pma_interactions.anims
300,pwa_interactions.anims,items\player\environment\pwa_interactions.anims
301,item_grenade.anims,items\player\grenade\item_grenade.anims
302,pma_grenade.anims,items\player\grenade\pma_grenade.anims
303,pwa_grenade.anims,items\player\grenade\pwa_grenade.anims
304,pma_w_explosives_001__frag_grenade.anims,items\player\grenade\w_explosives_001__frag_grenade\pma_w_explosives_001__frag_grenade.anims
305,pwa_w_explosives_001__frag_grenade.anims,items\player\grenade\w_explosives_001__frag_grenade\pwa_w_explosives_001__frag_grenade.anims
306,w_explosives_001__frag_grenade.anims,items\player\grenade\w_explosives_001__frag_grenade\w_explosives_001__frag_grenade.anims
307,pma_w_explosives_002__flash_grenade.anims,items\player\grenade\w_explosives_002__flash_grenade\pma_w_explosives_002__flash_grenade.anims
308,pwa_w_explosives_002__flash_grenade.anims,items\player\grenade\w_explosives_002__flash_grenade\pwa_w_explosives_002__flash_grenade.anims
