场景路径,Section名称,轨道序号,轨道名称,轨道类型,剪辑数量
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,6,lookAt,6,3
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,8,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,11,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,13,logic,8,2
base\quest\testgym\meethanako.scenesolution,q115_00b_08,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,2,guard_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,8,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,10,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,12,lookAt,6,2
base\quest\testgym\meethanako.scenesolution,q115_00b_08,13,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,14,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,15,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,16,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,17,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,18,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,19,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,2,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,8,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,11,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,12,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,2,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,8,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,9,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,2,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,8,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,9,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,2,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,6,lookAt,6,2
base\quest\testgym\meethanako.scenesolution,q115_00b_11,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,2,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,2,guard_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_41,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,2,guard_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,7,logic,8,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,8,guard_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,12,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,2,Player,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,6,lookAt,6,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,1,dialog lines,1,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,8,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,9,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,10,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,13,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,14,Player,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,15,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,16,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,17,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,18,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,19,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,1,dialog lines,1,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,2,Player,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,8,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,9,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,10,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,13,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,1,dialog lines,1,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,3,idle,3,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,5,facial,5,3
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,6,lookAt,6,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,8,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,10,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,5,facial,5,2
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,8,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,10,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,12,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_we_delta,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,1,dialog lines,1,2
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,6,lookAt,6,3
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_26,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_26,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,1,dialog lines,1,2
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,3,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_time,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_time,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_time,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_time,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_time,5,facial,5,1
base\quest\testgym\meethanako.scenesolution,q115_00b_time,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_time,7,logic,8,1
base\quest\testgym\meethanako.scenesolution,q115_00b_shock,1,dialog lines,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,1,dialog lines,1,3
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,2,hanako,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,3,idle,3,2
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,4,animation,4,2
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,5,facial,5,2
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,8,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,9,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,12,lookAt,6,3
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_power,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_corporation,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_dont_know,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,2,johnny,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,4,animation,4,1
