场景路径,章节名称,所有Clip类型,不同Clip类型数量,总Clip数量,Clip类型详情
base\quest\testgym\meethanako.scenesolution,q115_00b_23,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor",2,3,"{'scnbeventsSocketDescriptor': 2, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_25,"toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,"scnbeventsChangeWorkEvent, toolsLookAtDescriptor",2,2,"{'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,"scnbeventsSocketDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",3,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,7,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,15,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,"scnbeventsChangeWorkEvent, toolsPlaySkAnimDescriptor",2,4,"{'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_we_delta,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 2, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsLookAtAdvancedDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,7,"{'toolsLookAtDescriptor': 2, 'toolsLookAtAdvancedDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsLookAtDescriptor",3,3,"{'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_262,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 2, 'scnbeventsChangeWorkEvent': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_time,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_shock,,0,0,
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,13,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 4}"
base\quest\testgym\meethanako.scenesolution,q115_00b_power,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_family,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_corporation,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_dont_know,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,11,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 4, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,14,"{'toolsDialogLineEventDescriptor': 6, 'toolsPlaySkAnimDescriptor': 6, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",3,7,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,13,"{'toolsDialogLineEventDescriptor': 5, 'toolsPlaySkAnimDescriptor': 5, 'scnbeventsChangeWorkEvent': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,8,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,10,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,26,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsSocketDescriptor': 6, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 3}"
base\quest\testgym\meethanako.scenesolution,q115_00b_36,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,7,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_shut_up_johnny,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,7,"{'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'scnbeventsSocketDescriptor': 1, 'scnbeventsAttachPropDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 3}"
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_how_is_that,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,"scnbeventsAttachPropDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsPlaySkAnimDescriptor",4,8,"{'scnbeventsAttachPropDescriptor': 2, 'scnbeventsVFXEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 2, 'toolsLookAtDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_player_sitting_animation,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent",2,2,"{'scnbeventsCameraClipDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,TestSectionConOne,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,TestSectionConTwo,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,6,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,lookat_01,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,lookat_02,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_lookat_03,toolsLookAtDescriptor,1,1,{'toolsLookAtDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,facial_animation_01,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,facial_animation_02,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,facial_animation_03,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_35,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,7,"{'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,10,"{'toolsDialogLineEventDescriptor': 4, 'toolsPlaySkAnimDescriptor': 3, 'toolsLookAtDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",6,11,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 3, 'scnbeventsAttachPropDescriptor': 2, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,36,"{'toolsLookAtDescriptor': 12, 'toolsDialogLineEventDescriptor': 9, 'scnbeventsStopWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 3, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 6, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_17,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_40,"scnbeventsChangeWorkEvent, scnbeventsStopWorkEvent",2,2,"{'scnbeventsStopWorkEvent': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_22,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,14,"{'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 4, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,12,"{'toolsDialogLineEventDescriptor': 4, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 3, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",7,14,"{'scnbeventsVFXEventDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",9,20,"{'scnbeventsVFXEventDescriptor': 1, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 5}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsLookAtDescriptor",3,6,"{'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",7,11,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsAddIdleEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,12,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsAddIdleEventDescriptor': 1, 'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",7,13,"{'scnbeventsVFXEventDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'scnbeventsCameraClipDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",7,24,"{'scnbeventsVFXEventDescriptor': 3, 'toolsLookAtDescriptor': 4, 'toolsDialogLineEventDescriptor': 6, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 6, 'scnbeventsChangeWorkEvent': 1}"
