场景路径,章节名称,轨道名称,轨道类型,Clip,Clip数量
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,dialog lines,1,toolsDialogLineEventDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,facial,5,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,scnbeventsVFXEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,scnbeventsVFXEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,toolsChangeIdleAnimDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_08,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,guard_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,toolsLookAtAdvancedDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,toolsLookAtAdvancedDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_08,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_08,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_11,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_11,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,guard_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,idle,3,scnbeventsStopWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_41,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,guard_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,animation,4,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,facial,5,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_25,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,guard_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,Player,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,facial,5,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,Player,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,toolsDialogLineEventDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,Player,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,toolsDialogLineEventDescriptor,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,toolsDialogLineEventDescriptor,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,toolsDialogLineEventDescriptor,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,toolsDialogLineEventDescriptor,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,toolsDialogLineEventDescriptor,5
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,idle,3,scnbeventsChangeWorkEvent,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,idle,3,scnbeventsChangeWorkEvent,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,toolsPlaySkAnimDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,toolsChangeIdleAnimDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,toolsChangeIdleAnimDescriptor,3
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,lookAt,6,toolsLookAtDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,hanako,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,facial,5,toolsPlaySkAnimDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,facial,5,toolsPlaySkAnimDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_we_delta,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,dialog lines,1,toolsDialogLineEventDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,dialog lines,1,toolsDialogLineEventDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,johnny,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,facial,5,toolsChangeIdleAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,logic,8,scnbeventsSocketDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,dialog lines,1,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,johnny,2,,0
