场景路径,段落名称,动画名称,使用次数
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_out,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_doesnt_get_it,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_inital_pose,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_03,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,add__stand_table_lean0__2h_on_table__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,None,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,stand_table_lean0__2h_on_table__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_power_conclusion,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed_02,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_relax_johnny,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_no_love_for_corpo,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guards_lookats,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_street_guard_to_hanako,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_drinking,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_animations,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_02_backtopose,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_NEW_about_yorinobu,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_25,None,3
