场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,fpp_idle_stand,33
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__2h_elbow_on_knees__01,4
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,kneel_villefort_columbus__2h_rifle__01__to__sit_villefort_columbus__lh_on_knee__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,kneel_villefort_columbus__2h_gun__01__to__sit_villefort_columbus__2h_elbow_on_knees__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01,4
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_car__2h_on_wheel__focus__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_rail_lean90__rh_hold_cigarette__01__to__stand_bar_lean90__rh_elbow_on_bar__01__turn0,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__sit_chair_lean180__rh_can__01__to__sit_chair__2h_on_lap__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__sit_chair_lean180__arms_crossed_front__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand__2h_on_hip__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__conversation_step__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_bar_lean90__rh_on_bar__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__to__stand_wall_lean180__2h_on_sides__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__dance__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk_0__to__stand__2h_on_sides__01__turn45__05,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_phone__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_car_lean0__2h_on_engine__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__conversation_step__02,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_phone__01__to__stand_wall_lean180__arms_crossed_front__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_hip__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__conversation_step__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__to__dirt__stand__2h_on_hip__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_thorton_colby__lh_elbow_on_door__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,sit_chair__2h_on_lap__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand__2h_on_hip__01__turn0__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,idle,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_hip__01__to__stand__2h_on_sides__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01,4
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk_0__to__stand_wall_lean270__rh_on_hip__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand__2h_phone__03__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk_0__to__stand_wall_lean180__arms_crossed_front__01__turn180r__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__conversation_step__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_bar_lean90__rh_on_bar__01__to__stand__2h_on_sides__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01,6
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__conversation_step__14,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk0__to__stand__rh_on_hip__01__turn0__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,enter,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_tablet__02,3
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__to__stand__arms_crossed_front__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,synced__mitch_gives_splinter__01__mitch,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,synced__mitch_gives_stimpack__01__mitch,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_table_lean180__rh_cigarette_lh_table__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand__rh_cigarette__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__sit_chair_lean180__rh_can__01,8
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01,6
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_hip__01__to__stand__arms_crossed_front__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk_0__to__stand__2h_on_sides__01__turn225__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__rh_cigarette__01,8
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_rail_lean90__rh_cigarette__01,7
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,walk_0__to__stand__arms_crossed_front__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,fpp_idle_stand,17
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01,6
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand__2h_tablet__02__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__to__stand_thorton_colby__lh_elbow_on_door__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_car_lean0__2h_on_engine__01__to__stand__2h_on_sides__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__2h_on_sides__01__to__stand_wall_lean180__arms_crossed_front__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01,4
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi__2h_on_lap__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,walk_0__to__panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__turn180l__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01,4
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi__2h_on_wheel__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,q110__walk_0__to__johnny__stand__lh_pocket__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_couch_lean90__rh_elbow_backrest__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,fpp_idle_stand,4
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand__2h_on_sides__01__to__stand_lean0__lh_on_bike__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,synced__panam_on_bike_kisses_player__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__to__panam__sit_yaiba_kusanagi__2h_on_lap__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand_lean0__lh_on_bike__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand_wall_lean270__rh_on_hip__01,3
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_chair__2h_on_lap__01__to__lie_bed_270__sleep__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__put_legs_on_transition__01__panam,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand_bow90__2h_on_knees__02,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__rh_on_backrest__01__to__dirt__sit_bench_lean180__arms_crossed__01__turn0__02,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__rh_on_backrest__01__to__panam__sit_couch__rl_on_couch__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__2h_on_lap__01,10
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__dance__02,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean0__2h_elbows_on_knees__01,6
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch_lean0__2h_on_lap__01__to__panam__sit_couch__2l_on_couch__01__turn0__01,4
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__legs_on_player__01__panam,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__lie_couch__sleep__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__arms_crossed__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__2h_on_lap__01__to__sit_chair_lean0__2h_elbow_on_knees__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__kneel__2h_on_lap__01__look_left__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__2h_elbow_on_lap__01,5
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__maybe_too_comfortable__01__player,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__walk_0__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__2h_elbow_on_knees__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__lets_go_sleep__01__player,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__to__sit_couch_lean180__arms_crossed_front__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__put_legs_on_transition__01__player,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__2h_on_sides__01,3
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__kneel__2h_on_lap__01__to__dirt__sit_bench_lean180__rh_on_backrest__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__touch_too_much__01__panam,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__rh_on_hip__01__to__panam__kneel__2h_on_lap__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__arms_crossed_front__01,8
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand_bow90__2h_on_knees__02__to__sit_couch_lean180__2h_on_lap__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__rh_on_hip__01__conversation_step__03,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,lie_bed_270__sleep__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__2h_on_sides__to__sq004__sit_couch_lean180__2h_elbow_on_lap__01__turn180__02,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__kneel__2h_on_lap__01__look_right__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__legs_on_player__01__player,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__touch_too_much__01__player,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch__2l_on_couch__01,6
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__habbob__01__player,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__rh_on_backrest__01,13
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__run_to_cabin__01__panam,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,johnny__sit_chair_lean0__rh_on_lap__02,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__arms_crossed__01__to__dirt__sit_bench_lean180__rh_on_backrest__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__habbob__01__panam,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__arms_crossed_front__01__to__sit_couch_lean180__2h_on_lap__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean180__arms_crossed__01__to__dirt__sit_bench_lean0__2h_elbows_on_knees__01__turn0__panam__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch__2l_on_couch__01__to__panam__lie_couch__sleep__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_couch_lean180__arms_crossed_front__01__to__sit_chair_lean0__2h_elbow_on_knees__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__maybe_too_comfortable__01__panam,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__2h_on_sides__to__sq004__sit_couch_lean180__2h_elbow_on_lap__01__turn180__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch__rl_on_couch__01__to__panam__sit__2l_on_couch__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__to__stand__2h_on_sides__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__lh_on_knee__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean0__2h_elbows_on_knees__01__to__dirt__sit_bench_lean180__rh_on_backrest__01__turn0__panam__01,8
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,fpp_idle_stand,30
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch__rl_on_couch__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__kneel__2h_on_lap__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__run_to_cabin__01__saul,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01,4
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,panam__sit_couch_lean0__2h_on_lap__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,stand__rh_on_hip__01,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,walk_0__to__sit_chair__2h_on_lap__01__turn225__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,dirt__sit_bench_lean0__2h_elbows_on_knees__01__to__dirt__sit_bench_lean180__rh_on_backrest__01__turn0__01,1
