场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,other_gesture__grimace__male__02,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__point_left__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,glance__left_90_rot_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,yes__firm__male__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__come_closer__neutral__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,door_front_right,3
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,emotional_gesture__resentful__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,yes__approval__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__look_right__01,3
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__aggressive__female__02,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,yes__firm__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__angry__03,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__restraing_anger__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_quadra_join__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__lh_flick__01,6
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__resentful__male__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__look_right__01,4
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,glance__left_90_rot_close__male__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__radio__03,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,other_gesture__searching_for_words__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__restraing_anger__male__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__talk__angry__02,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,glance__look_around__02,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__this_or_that__neutral__01,4
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__talk__angry__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,glance__looking_right_up__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__aggressive__female__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__01,6
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,no__long__female__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_vehicle_hit__01__Saul,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__head_flick_up__01,3
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,emotional_gesture__impatience__male__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,glance__right_90_rot_close__male__01,3
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,no__long__male__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__radio__02,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_vehicle_hit__01,6
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__point_back__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__dismissive__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,glance__right_90_rot_close__female__01,3
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_vehicle_hit__01__Panam,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,other_gesture__grimace__male__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__look_around__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__angry_fuck__01,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_archer_join__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__look_around__01,6
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__radio__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__dismissive__02,2
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__kneel_villefort_columbus__2h_gun__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__shrug__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__rh_flick__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,emotional_gesture__annoyed__male__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__what__neutral__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,no__long__female__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__yes__neutral__07,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_car_lean0__2h_on_engine__01__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__look_around__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__looking_up_thinking__01,3
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__looking_up_thinking__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_rail_lean90__rh_cigarette__01__puff,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__talking__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,emotional_gesture__annoyed__female__02,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__stand__2h_on_hip__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__2h_on_sides__01__2h_flick__02,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__2h_on_sides__01__sigh_heavy__01,3
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,emotional_gesture__disgusted__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__talk__neutral__03,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__look_around__02,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,phrasal_gesture__what__male__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__rh_cigarette__01__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__come_closer__neutral__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__shuffle__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__lh_flick__06,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__no__neutral__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__shrug__01,4
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,phrasal_gesture__what__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__calm_down__angry__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__talk__aggresive__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_tablet__02__talk__frustrated__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,dirt__sit_chair_lean180__arms_crossed_front__01__look_around__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__shrug__04,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__rh_cigarette__01__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,yes__approval__female__01,3
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__looking_down_thinking__01,4
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,other_gesture__searching_for_words__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,other_gesture__asymmetrical_smile__male__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__2h_on_sides__01__2h_flick__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_sides__01__shuffle__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__describe_back__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,glance__right_90_rot_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_tablet__02__use_tablet__05,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_tablet__02__shuffle__03,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean270__rh_on_hip__01__rh_flick__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_on_hip__01__no__neutral__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__yes__neutral__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__lh_flick__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_rail_lean90__rh_on_rail__01__talk__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,synced__mitch_gives_splinter__01__player,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__this_or_that__neutral__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__rh_cigarette__01__talk_smoke__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean270__rh_on_hip__01__shrug__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,emotional_gesture__irritated__male__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,no__quick_shake__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,phrasal_gesture__maybe__female__02,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_car_lean0__2h_on_engine__01__talk__10,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__rh_cigarette__01__talk__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__talk__04,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__look_right__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,other_gesture__sarcastic_smile__female__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,phrasal_gesture__where__female__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,emotional_gesture__restraing_anger__female__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,synced__mitch_gives_stimpack__01__player,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__2h_tablet__02__flick__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,other_gesture__eye_roll__male__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_rail_lean90__rh_cigarette__01__look_around,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__2h_on_sides__01__no__neutral__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,other_gesture__squint__male__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01__talk__04,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,no__long__male__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__flick__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__talk__head__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__rh_flick__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__talk__neutral__04,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,idle_gesture_cm__smile_long__male__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__describe_right__02,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__talk__07,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01__what__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__shuffle__04,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,yes__subtle__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,other_gesture__false_smile__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__talk__10,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand_wall_lean270__rh_on_hip__01__lh_flick__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__shuffle__05,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,phrasal_gesture__what__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__rh_flick__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,additive__closed_eyes__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__looking_down_thinking__01,3
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,yes__sad__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__shuffle__03,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,other_gesture__indulgent_smile__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,other_gesture__asymmetrical_smile__male__01,4
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__shrug__04,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01__look_left__02,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__look_around__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__talk__subtle__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__rh_flick__05,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,yes__approval__female__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,other_gesture__mocking_smile__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi__2h_on_lap__01__to__panam__sit_yaiba_kusanagi__2h_on_wheel__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,johnny__stand__lh_pocket__01__describe_front__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__right_90_rot_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi__2h_on_lap__01__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,idle_gesture_cm__smile_long__female__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__no__neutral__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__yes__neutral__03,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__shuffle__03,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_curb_lean0__2h_elbow_on_knees__01__talk__02,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__consider__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand_wall_lean270__rh_on_hip__01__rh_flick__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__left_45_procesing_info__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__look_around__02,3
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,stand_wall_lean270__rh_on_hip__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__rh_flick__05,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__right_45_procesing_info__01,2
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,glance__looking_up_thinking__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__2h_flick__01,2
