场景路径,段落名称,轨道名称,轨道类型,剪辑序号,剪辑类型
base\quest\testgym\meethanako.scenesolution,q115_00b_08,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_08,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,1,toolsLookAtAdvancedDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_08,lookAt,6,2,toolsLookAtAdvancedDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_08,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_11,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_11,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_11,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_11,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_41,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_23,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,animation,4,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_25,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_25,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_25,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,2,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,facial,5,3,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_we_delta,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,lookAt,6,3,toolsLookAtAdvancedDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_262,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_time,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_time,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_time,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,lookAt,6,3,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_power,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_corporation,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_dont_know,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,dialog lines,1,6,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,animation,4,3,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,facial,5,3,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,facial,5,3,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,lookAt,6,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,lookAt,6,2,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,idle,3,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,idle,3,3,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,facial,5,3,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,lookAt,6,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,lookAt,6,3,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,3,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,4,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,5,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,6,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,7,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,facial (1),5,1,toolsChangeIdleAnimDescriptor
